air_pollution_index,wind_direction,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,time,Month,Year,day
121,329,288.28,0.0,0.0,40,Clouds,scattered clouds,5545,09,October,2012,2
178,330,289.36,0.0,0.0,75,Clouds,broken clouds,4516,10,October,2012,2
113,329,289.58,0.0,0.0,90,Clouds,overcast clouds,4767,11,October,2012,2
20,329,290.13,0.0,0.0,90,Clouds,overcast clouds,5026,12,October,2012,2
281,329,291.14,0.0,0.0,75,Clouds,broken clouds,4918,13,October,2012,2
23,328,291.72,0.0,0.0,1,Clear,sky is clear,5181,14,October,2012,2
184,328,293.17,0.0,0.0,1,Clear,sky is clear,5584,15,October,2012,2
167,327,293.86,0.0,0.0,1,Clear,sky is clear,6015,16,October,2012,2
119,327,294.14,0.0,0.0,20,Clouds,few clouds,5791,17,October,2012,2
161,326,293.1,0.0,0.0,20,Clouds,few clouds,4770,18,October,2012,2
243,326,290.97,0.0,0.0,20,Clouds,few clouds,3539,19,October,2012,2
150,326,289.38,0.0,0.0,1,Clear,sky is clear,2784,20,October,2012,2
128,325,288.61,0.0,0.0,1,Clear,sky is clear,2361,21,October,2012,2
18,325,287.16,0.0,0.0,1,Clear,sky is clear,1529,22,October,2012,2
186,324,285.45,0.0,0.0,1,Clear,sky is clear,963,23,October,2012,2
158,324,283.47,0.0,0.0,1,Clear,sky is clear,321,01,October,2012,3
166,323,281.18,0.0,0.0,1,Clear,sky is clear,273,02,October,2012,3
101,323,281.09,0.0,0.0,1,Clear,sky is clear,367,03,October,2012,3
161,322,279.53,0.0,0.0,1,Clear,sky is clear,814,04,October,2012,3
179,322,278.62,0.0,0.0,1,Clear,sky is clear,2718,05,October,2012,3
93,322,278.23,0.0,0.0,1,Clear,sky is clear,5673,06,October,2012,3
57,321,278.12,0.0,0.0,1,Clear,sky is clear,6511,08,October,2012,3
226,321,282.48,0.0,0.0,1,Clear,sky is clear,5471,09,October,2012,3
86,320,291.97,0.0,0.0,1,Clear,sky is clear,5097,12,October,2012,3
52,320,293.23,0.0,0.0,1,Clear,sky is clear,4887,13,October,2012,3
273,320,294.31,0.0,0.0,1,Clear,sky is clear,5337,14,October,2012,3
72,350,295.17,0.0,0.0,1,Clear,sky is clear,5692,15,October,2012,3
254,320,295.13,0.0,0.0,1,Clear,sky is clear,6137,16,October,2012,3
129,330,293.66,0.0,0.0,20,Clouds,few clouds,4623,18,October,2012,3
271,330,290.65,0.0,0.0,20,Clouds,few clouds,3591,19,October,2012,3
259,320,288.19,0.0,0.0,20,Clouds,few clouds,2898,20,October,2012,3
61,340,287.1,0.0,0.0,1,Clear,sky is clear,2637,21,October,2012,3
286,340,286.25,0.0,0.0,1,Clear,sky is clear,1777,22,October,2012,3
151,340,285.26,0.0,0.0,1,Clear,sky is clear,1015,23,October,2012,3
234,350,283.47,0.0,0.0,1,Clear,sky is clear,369,01,October,2012,4
162,330,283.17,0.0,0.0,1,Clear,sky is clear,312,02,October,2012,4
65,340,282.04,0.0,0.0,1,Clear,sky is clear,367,03,October,2012,4
18,340,281.69,0.0,0.0,1,Clear,sky is clear,835,04,October,2012,4
250,350,281.32,0.0,0.0,1,Clear,sky is clear,2726,05,October,2012,4
173,340,280.74,0.0,0.0,1,Clear,sky is clear,5689,06,October,2012,4
142,350,280.57,0.0,0.0,1,Clear,sky is clear,6990,07,October,2012,4
90,360,281.86,0.0,0.0,1,Clear,sky is clear,5985,08,October,2012,4
144,0,284.98,0.0,0.0,1,Clear,sky is clear,5309,09,October,2012,4
143,0,289.18,0.0,0.0,1,Clear,sky is clear,4603,10,October,2012,4
61,320,291.55,0.0,0.0,1,Clear,sky is clear,4884,11,October,2012,4
211,0,294.97,0.0,0.0,1,Clear,sky is clear,5104,12,October,2012,4
207,0,296.38,0.0,0.0,1,Clear,sky is clear,5178,13,October,2012,4
115,0,297.32,0.0,0.0,1,Clear,sky is clear,5501,14,October,2012,4
253,0,298.17,0.0,0.0,1,Clear,sky is clear,5713,15,October,2012,4
242,63,298.06,0.0,0.0,20,Clouds,few clouds,6292,16,October,2012,4
23,126,297.67,0.0,0.0,20,Clouds,few clouds,6057,17,October,2012,4
234,190,296.36,0.0,0.0,40,Clouds,scattered clouds,4907,18,October,2012,4
220,170,293.85,0.0,0.0,40,Clouds,scattered clouds,3503,19,October,2012,4
210,190,292.43,0.0,0.0,40,Clouds,scattered clouds,3037,20,October,2012,4
174,0,291.77,0.0,0.0,75,Clouds,broken clouds,2822,21,October,2012,4
58,140,291.36,0.0,0.0,75,Clouds,broken clouds,1992,22,October,2012,4
142,170,291.12,0.0,0.0,75,Clouds,broken clouds,1166,23,October,2012,4
128,180,290.46,0.0,0.0,40,Clouds,scattered clouds,388,01,October,2012,5
148,150,289.26,0.0,0.0,0,Clear,sky is clear,368,03,October,2012,5
252,140,283.21,0.0,0.0,75,Clouds,broken clouds,2489,05,October,2012,5
190,140,282.24,0.0,0.0,90,Clouds,overcast clouds,5537,06,October,2012,5
192,160,281.69,0.0,0.0,90,Clouds,overcast clouds,6628,07,October,2012,5
59,160,280.57,0.0,0.0,90,Clouds,overcast clouds,5534,08,October,2012,5
190,130,280.02,0.0,0.0,75,Clouds,broken clouds,5403,09,October,2012,5
134,0,280.11,0.0,0.0,75,Clouds,broken clouds,4770,10,October,2012,5
240,110,280.0,0.0,0.0,90,Clouds,overcast clouds,5217,11,October,2012,5
12,150,280.53,0.0,0.0,90,Clouds,overcast clouds,5870,12,October,2012,5
182,110,281.43,0.0,0.0,75,Clouds,broken clouds,5967,13,October,2012,5
90,110,281.78,0.0,0.0,90,Clouds,overcast clouds,6108,14,October,2012,5
284,110,281.91,0.0,0.0,90,Clouds,overcast clouds,6128,15,October,2012,5
228,120,281.73,0.0,0.0,90,Clouds,overcast clouds,6069,16,October,2012,5
149,110,281.42,0.0,0.0,90,Clouds,overcast clouds,6169,17,October,2012,5
72,0,280.87,0.0,0.0,90,Clouds,overcast clouds,5384,18,October,2012,5
36,160,280.15,0.0,0.0,90,Clouds,overcast clouds,4063,19,October,2012,5
205,0,279.78,0.0,0.0,90,Clouds,overcast clouds,3364,20,October,2012,5
161,160,279.65,0.0,0.0,75,Clouds,broken clouds,2971,21,October,2012,5
261,180,279.22,0.0,0.0,40,Clouds,scattered clouds,2450,22,October,2012,5
257,160,279.06,0.0,0.0,40,Clouds,scattered clouds,1832,23,October,2012,5
219,160,278.55,0.0,0.0,90,Clouds,overcast clouds,718,01,October,2012,6
