date_time,is_holiday,air_pollution_index,wind_direction,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume
2012-10-02 09:00:00,None,121,329,288.28,0.0,0.0,40,Clouds,scattered clouds,5545
2012-10-02 10:00:00,None,178,330,289.36,0.0,0.0,75,Clouds,broken clouds,4516
2012-10-02 11:00:00,None,113,329,289.58,0.0,0.0,90,Clouds,overcast clouds,4767
2012-10-02 12:00:00,None,20,329,290.13,0.0,0.0,90,Clouds,overcast clouds,5026
2012-10-02 13:00:00,None,281,329,291.14,0.0,0.0,75,Clouds,broken clouds,4918
2012-10-02 14:00:00,None,23,328,291.72,0.0,0.0,1,Clear,sky is clear,5181
2012-10-02 15:00:00,None,184,328,293.17,0.0,0.0,1,Clear,sky is clear,5584
2012-10-02 16:00:00,None,167,327,293.86,0.0,0.0,1,Clear,sky is clear,6015
2012-10-02 17:00:00,None,119,327,294.14,0.0,0.0,20,Clouds,few clouds,5791
2012-10-02 18:00:00,None,161,326,293.1,0.0,0.0,20,Clouds,few clouds,4770
2012-10-02 19:00:00,None,243,326,290.97,0.0,0.0,20,Clouds,few clouds,3539
2012-10-02 20:00:00,None,150,326,289.38,0.0,0.0,1,Clear,sky is clear,2784
2012-10-02 21:00:00,None,128,325,288.61,0.0,0.0,1,Clear,sky is clear,2361
2012-10-02 22:00:00,None,18,325,287.16,0.0,0.0,1,Clear,sky is clear,1529
2012-10-02 23:00:00,None,186,324,285.45,0.0,0.0,1,Clear,sky is clear,963
2012-10-03 00:00:00,None,58,324,284.63,0.0,0.0,1,Clear,sky is clear,506
2012-10-03 01:00:00,None,158,324,283.47,0.0,0.0,1,Clear,sky is clear,321
2012-10-03 02:00:00,None,166,323,281.18,0.0,0.0,1,Clear,sky is clear,273
2012-10-03 03:00:00,None,101,323,281.09,0.0,0.0,1,Clear,sky is clear,367
2012-10-03 04:00:00,None,161,322,279.53,0.0,0.0,1,Clear,sky is clear,814
2012-10-03 05:00:00,None,179,322,278.62,0.0,0.0,1,Clear,sky is clear,2718
2012-10-03 06:00:00,None,93,322,278.23,0.0,0.0,1,Clear,sky is clear,5673
